symbol,security_name,listing_exchange,etf,financial_status,zip,sector,fullTimeEmployees,city,state,country,industry,twoHundredDayAverage,trailingAnnualDividendYield,averageDailyVolume10Day,regularMarketPreviousClose,open,averageVolume10days,dividendRate,regularMarketVolume,marketCap,averageVolume,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiveYearAvgDividendYield,dividendYield,bidSize,dayHigh,enterpriseToRevenue,forwardEps,revenueQuarterlyGrowth,bookValue,sharesShort,shortRatio,floatShares,enterpriseValue,regularMarketPrice,latest_dividend
EPM,"Evolution Petroleum Corporation, Inc. Common Stock",A,N,,77079,Energy,4.0,Houston,TX,United States,Oil & Gas E&P,4.2182355,0.14869888,196257,2.69,2.72,196257,0.1,30660,87993856.0,179645,2.63,2.67,7.4,24.272728,4.68,0.0382,800.0,2.71,2.052,0.11,,2.356,677961.0,4.03,24997844.0,75138496.0,2.72,0.1
EPOL,iShares Trust iShares MSCI Poland ETF,P,Y,,,,,,,,,17.97,,173385,16.26,16.24,173385,,31336,,310669,16.1,16.1,23.99,,,,900.0,16.19,,,,,,,,,16.24,0.489
EPP,iShares MSCI Pacific Ex-Japan Index Fund,P,Y,,,,,,,,,41.487427,0.042395946,603657,37.48,37.79,603657,,79655,,1007643,37.62,37.68,48.13,,,,1000.0,37.74,,,,,,,,,37.79,0.956
EPR,EPR Properties Common Stock,N,N,,64106,Real Estate,58.0,Kansas City,MO,United States,REIT—Retail,51.710148,0.13341224,1744828,33.79,34.2,1744828,,199246,2626582528.0,2353966,32.68,33.44,80.5,15.841122,6.34,,1000.0,34.32,7.698,2.14,,37.364,5575673.0,2.53,76372311.0,5003453952.0,34.2,0.383
EPRF,Innovator S&P Investment Grade Preferred ETF,Z,Y,,,,,,,,,23.44006,,23357,23.46,23.5637,23357,,802,,19137,23.405,23.56,26.41,,,,800.0,23.53,,,,,,,,,23.5637,0.1
EPRT,"Essential Properties Realty Trust, Inc. Common Stock",N,N,,08540,Real Estate,27.0,Princeton,NJ,United States,REIT—Diversified,20.602942,0.06263048,887514,14.37,14.5,887514,0.92,64449,1332971264.0,1695856,14.01,14.38,29.343,20.408451,,0.0696,800.0,14.665,12.998,0.71,,14.742,3493084.0,2.09,90446285.0,1946222592.0,14.5,0.23
EPS,WisdomTree U.S. LargeCap Fund,P,Y,,,,,,,,,33.56831,,49157,33.0784,33.21,49157,,8386,,128232,33.0162,33.08,37.94,,,,1000.0,33.21,,,,,,,,,33.21,0.179
EPU,iShares Trust iShares MSCI Peru ETF,P,Y,,,,,,,,,30.768236,,10528,27.2332,27.35,10528,,1,,35454,26.88,27.68,38.18,,,,1000.0,27.35,,,,,,,,,27.35,0.325
EPV,ProShares UltraShort FTSE Europe ETF,P,Y,,,,,,,,,31.393602,,24785,28.65,28.33,24785,,1592,,61366,28.33,28.31,56.6,,,,800.0,28.33,,,,,,,,,28.33,0.014
EQAL,Invesco Russell 1000 Equal Weight ETF,P,Y,,,,,,,,,30.537426,,26614,30.64,30.91,26614,,1968,,132046,30.6051,30.6,34.95,,,,800.0,30.6051,,,,,,,,,30.91,0.165
EQIX,"Equinix, Inc. - Common Stock",Q,N,N,94065,Real Estate,8781.0,Redwood City,CA,United States,REIT—Specialty,608.49774,0.014862184,539471,675.54,681.67,539471,10.64,35127,60454514688.0,698950,676.7419,685.76,715.75,73.3609,1.88,0.015800001,1000.0,685.44,12.612,9.31,,100.892,804192.0,1.37,85460460.0,70180454400.0,681.67,2.66
EQL,ALPS Equal Sector Weight ETF,P,Y,,,,,,,,,73.54184,,6228,71.2922,73.17,6228,,598,,12325,71.315,72.74,83.13,,,,1000.0,72.51,,,,,,,,,73.17,0.636
EQM,"EQM Midstream Partners, LP Common Units representing Limited Partner Interests",N,N,,15317,Energy,,Canonsburg,PA,United States,Oil & Gas Midstream,20.784779,0.19734694,1387128,19.6,19.43,1387128,3.87,93876,4066176768.0,1954146,19.29,19.52,45.69,5.648415,7.91,0.1985,1100.0,19.81,7.108,3.47,,19.994,5949879.0,3.33,83083674.0,12037650432.0,19.43,0.3875
EQNR,Equinor ASA,N,N,,4035,Energy,21412.0,Stavanger,,Norway,Oil & Gas Integrated,16.112795,0.057667103,6212885,15.26,15.19,6212885,1.08,666594,48996331520.0,5544429,15.015,15.17,21.04,58.076927,4.98,0.072,900.0,15.18,0.992,0.26,,10.992,7344612.0,1.68,1043785100.0,61082849280.0,15.19,0.27
EQR,Equity Residential Common Shares of Beneficial Interest,N,N,,60606,Real Estate,2600.0,Chicago,IL,United States,REIT—Residential,74.53191,0.03833361,3158600,60.13,61.25,3158600,2.41,141164,22364772352.0,3003766,59.655,60.03,89.55,39.801323,3.05,0.0401,900.0,61.22,12.356,1.51,,28.199,4805979.0,1.93,366264638.0,33620559872.0,61.25,0.603
EQRR,ProShares Equities for Rising Rates ETF,Q,Y,N,,,,,,,,34.963524,,1214,28.7792,29.41,1214,,604,,606,29.26,29.45,43.9,,,,1800.0,29.6894,,,,,,,,,29.41,0.224
EQS,"Equus Total Return, Inc. Common Stock",N,N,,77002,Financial Services,,Houston,TX,United States,Asset Management,1.4427205,,47600,1.12,1.11,47600,,136,15005091.0,14041,1.11,1.16,1.89,,,,2200.0,1.11,87.771,,,2.877,228.0,0.05,8187941.0,38531416.0,1.11,0.158
EQT,EQT Corporation Common Stock,N,N,,15222,Energy,647.0,Pittsburgh,PA,United States,Oil & Gas E&P,9.364044,0.0063514467,7099914,14.17,14.06,7099914,,885430,3748537088.0,10784458,14.0,14.64,18.72,-133.36363,0.45,,1800.0,14.9148,2.732,-0.11,,37.741,19298553.0,1.8,252984086.0,8648250368.0,14.06,0.03
EQWL,Invesco S&P 100 Equal Weight ETF,P,Y,,,,,,,,,56.710148,,2128,56.0625,56.33,2128,,185,,6230,56.33,56.27,63.69,,,,1000.0,56.33,,,,,,,,,56.33,0.343
ERF,Enerplus Corporation Common Stock,N,N,,T2P 2Z1,Energy,383.0,Calgary,AB,Canada,Oil & Gas E&P,4.349338,0.031110652,982114,2.8929,2.92,982114,0.09,102660,628173184.0,1942511,2.79,2.84,8.43,2.3636363,3.52,0.0299,1800.0,2.8699,,1.21,,5.412,4803297.0,3.08,186392285.0,574213248.0,2.92,0.01
ERIE,Erie Indemnity Company - Class A Common Stock,Q,N,N,16530-0001,Financial Services,5700.0,Erie,PA,United States,Insurance Brokers,166.83772,0.021812866,80100,171.0,172.47,80100,3.86,3203,7947296256.0,142114,172.06,174.44,270.23,26.109255,2.55,0.0221,1000.0,174.58,3.471,6.59,,21.362,1035925.0,7.86,25126327.0,8676697088.0,172.47,0.965
ERM,EquityCompass Risk Manager ETF,P,Y,,,,,,,,,19.413294,,4557,17.36,17.45,4557,,7290,,5848,17.18,17.41,22.426,,,,1400.0,17.45,,,,,,,,,17.45,0.074
ERSX,ERShares Non-US Small Cap ETF,P,Y,,,,,,,,,15.592044,,28,12.2,14.3557,28,,0,,166,14.3557,16.17,18.14,,,,1000.0,14.3557,,,,,,,,,14.3557,0.269
ERUS,iShares MSCI iShares MSCI Russia ETF ,P,Y,,,,,,,,,36.9764,,119757,34.15,34.47,119757,,2213,,310183,34.3,34.4,45.27,,,,1100.0,34.36,,,,,,,,,34.47,2.495
ERX,Direxion Energy Bull 2X Shares,P,Y,,,,,,,,,89.86338,,8816042,17.24,17.26,8816042,,1198618,,6511308,16.55,16.81,209.2,,,,2200.0,17.32,,,,,,,,,17.26,0.74
ERY,Direxion Daily Energy Bear 2X Shares,P,Y,,,,,,,,,73.18639,,303671,49.99,49.97,303671,,69457,,268841,49.97,51.3,379.37,,,,800.0,52.03,,,,,,,,,49.97,0.15
ES,Eversource Energy (D/B/A) Common Stock,N,N,,01104,Utilities,8300.0,Springfield,MA,United States,Utilities—Regulated Electric,84.65625,0.028036658,1485442,77.47,78.69,1485442,2.27,147483,26932262912.0,2425338,78.14,79.68,99.42,20.631443,3.02,0.0293,800.0,80.18,4.943,3.88,,39.267,9666775.0,4.53,335672088.0,41934176256.0,78.69,0.568
ESBA,"Empire State Realty OP, L.P. Series ES Operating Partnership Units Representing Limited Partnership Interests",P,N,,10120,Real Estate,831.0,New York,NY,United States,REIT—Diversified,11.42125,0.057613168,20328,7.29,7.29,20328,0.42,1812,2103307392.0,18419,7.16,7.2,15.89,,,0.0614,1000.0,7.29,5.486,,,6.511,2305.0,0.03,35634821.0,4005523200.0,7.29,0.105
ESBK,Elmira Savings Bank NY (The) - Common Stock,Q,N,N,14901,Financial Services,123.0,Elmira,NY,United States,Banks—Regional,14.289191,0.083712466,2485,10.99,12.0,2485,0.6,1,51880480.0,3340,10.99,12.18,17.4,,4.97,0.0504,900.0,12.13,3.591,,,14.014,17961.0,4.95,2769300.0,74957744.0,12.0,0.23
ESCA,"Escalade, Incorporated - Common Stock",Q,N,N,47711,Consumer Cyclical,468.0,Evansville,IN,United States,Leisure,8.649926,0.048780486,47242,10.25,10.54,47242,0.5,7221,149145200.0,39080,10.535,10.67,11.9,12.302325,3.86,0.048299998,2200.0,10.85,0.599,0.86,,8.879,173968.0,4.6,8707216.0,111306304.0,10.54,0.125
ESG,FlexShares Trust FlexShares STOXX US ESG Impact Index Fund,Z,Y,,,,,,,,,72.19659,,3771,72.2016,73.16,3771,,41,,7404,73.32,73.37,81.216,,,,800.0,73.32,,,,,,,,,73.16,0.307
ESGD,iShares ESG MSCI EAFE ETF,Q,Y,N,,,,,,,,61.891712,,141942,58.8,59.6,141942,,17324,,415125,59.4,59.56,69.71,,,,800.0,59.72,,,,,,,,,59.6,0.598
ESGE,iShares ESG MSCI EM ETF,Q,Y,N,,,,,,,,32.300587,,899414,29.9,30.04,899414,,130096,,1646317,29.8878,29.96,37.09,,,,900.0,30.05,,,,,,,,,30.04,0.671
ESGG,FlexShares Trust FlexShares STOXX Global ESG Impact Index Fund,Z,Y,,,,,,,,,93.768166,,3915,97.9083,98.32,3915,,59,,3295,99.86,100.81,100.93,,,,1000.0,99.86,,,,,,,,,98.32,0.386
ESGN,Columbia Sustainable International Equity Income ETF,P,Y,,,,,,,,,23.061802,,585,20.2969,20.0837,585,,206,,1150,20.0837,21.54,26.83,,,,900.0,20.0837,,,,,,,,,20.0837,0.075
ESGR,Enstar Group Limited - Ordinary Shares,Q,N,N,HM JX,Financial Services,1444.0,Hamilton,,Bermuda,Insurance—Diversified,177.58655,,62357,144.65,147.7,62357,,2014,3259924992.0,66546,147.28,148.38,213.99,9.205,,,800.0,147.7,-0.968,16.0,,189.323,161375.0,2.99,14216768.0,-1371715072.0,147.7,3.0
ESGRO,"Enstar Group Limited - Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares, Series E",Q,N,N,HM JX,Financial Services,1444.0,Hamilton,,Bermuda,Insurance—Diversified,25.654854,,12142,24.99,25.0,12142,1.75,9554,3528232704.0,25570,24.88,25.0,27.96,,,0.070700005,1100.0,25.0,-2.823,,,189.323,,,14216768.0,-4000367360.0,25.0,0.438
ESGRP,Enstar Group Limited - Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,Q,N,N,HM JX,Financial Services,1444.0,Hamilton,,Bermuda,Insurance—Diversified,25.95639,,22514,25.27,25.49,22514,1.75,2171,3546119168.0,42427,25.09,25.34,29.44,,,0.07,1800.0,25.49,-2.82,,,189.323,,,14216768.0,-3996604416.0,25.49,0.438
ESGS,Columbia Sustainable U.S. Equity Income ETF,P,Y,,,,,,,,,26.693838,,371,24.9494,24.388,371,,1,,1417,24.9494,24.93,31.125,,,,1200.0,24.9494,,,,,,,,,24.388,0.169
ESGU,iShares ESG MSCI USA ETF,Q,Y,N,,,,,,,,67.14883,,457300,68.39,68.73,457300,,36935,,1318390,68.3,68.54,75.72,,,,900.0,68.73,,,,,,,,,68.73,0.26
ESGV,Vanguard ESG U.S. Stock ETF,Z,Y,,,,,,,,,53.30412,,178271,54.75,55.04,178271,,35052,,255209,54.71,54.87,60.17,,,,800.0,54.89,,,,,,,,,55.04,0.143
ESLT,Elbit Systems Ltd. - Ordinary Shares,Q,N,N,3100401,Industrials,16575.0,Haifa,,Israel,Aerospace & Defense,145.72198,0.01233789,22842,142.65,145.88,22842,1.4,2878,6284962816.0,33287,141.86,142.83,167.75,17.487684,1.43,0.010299999,900.0,145.88,1.585,8.12,,48.45,89833.0,2.56,24614050.0,7143819776.0,145.88,0.44
ESML,iShares ESG MSCI USA Small-Cap ETF,Z,Y,,,,,,,,,25.385603,,49771,24.8634,25.17,49771,,3591,,132570,24.76,25.02,29.69,,,,1200.0,24.945,,,,,,,,,25.17,0.065
ESNT,Essent Group Ltd. Common Shares,N,N,,HM 11,Financial Services,381.0,Hamilton,,Bermuda,Mortgage Finance,41.818237,0.012292893,1936557,37.42,35.84,1936557,0.64,676214,3408914176.0,1527696,34.39,35.0,55.84,6.0746922,,0.0171,1100.0,36.02,2.856,5.69,,31.511,2764466.0,2.11,95813525.0,2558728448.0,35.84,0.16
ESP,Espey Mfg. & Electronics Corp. Common Stock,A,N,,12866,Industrials,160.0,Saratoga Springs,NY,United States,Electrical Equipment & Parts,20.262648,0.051813472,1228,19.3,18.61,1228,1.0,881,45643580.0,1924,19.01,20.34,27.0,1901.0001,4.09,0.051799998,800.0,19.01,1.119,0.01,,12.72,105.0,0.07,1747187.0,34725256.0,18.61,0.25
ESPO,VanEck Vectors Video Gaming and eSports ETF,Q,Y,N,,,,,,,,39.53316,,146885,46.01,45.73,146885,,17225,,108469,44.97,46.08,47.94,,,,800.0,46.0516,,,,,,,,,45.73,0.083
ESRT,"Empire State Realty Trust, Inc. Class A Common Stock",N,N,,10120,Real Estate,831.0,New York,NY,United States,REIT—Diversified,11.460956,0.057142857,4211314,7.35,7.44,4211314,0.42,455684,2512608768.0,2767814,7.155,7.22,15.96,59.666668,2.39,0.056700002,1100.0,7.49,5.07,0.12,,6.484,4399784.0,2.08,144369615.0,3701504256.0,7.44,0.105
ESS,"Essex Property Trust, Inc. Common Stock",N,N,,94403,Real Estate,1822.0,San Mateo,CA,United States,REIT—Residential,277.9925,0.03196259,365200,248.04,250.53,365200,8.31,36444,16050159616.0,599083,243.975,245.58,334.17,42.743904,2.72,0.0335,800.0,250.88,13.999,5.74,,95.214,1051658.0,2.05,63990602.0,22686197760.0,250.53,2.078
ESSA,"ESSA Bancorp, Inc. - common stock",Q,N,N,18360,Financial Services,243.0,Stroudsburg,PA,United States,Banks—Regional,15.168088,0.02801868,20928,14.99,15.0,20928,0.44,2938,162741648.0,25583,14.67,14.93,17.73,112.84616,2.39,0.033,1800.0,15.07,6.816,0.13,,18.491,18843.0,0.88,7065400.0,371922496.0,15.0,0.11
ESXB,Community Bankers Trust Corporation. - Common Stock,Q,N,N,23233,Financial Services,243.0,Richmond,VA,United States,Banks—Regional,7.348897,0.024630543,99157,6.09,6.21,99157,0.2,10193,139260576.0,106856,6.09,6.23,9.75,11.555554,,0.0339,1400.0,6.27,3.084,0.54,,6.966,103856.0,1.19,18088046.0,160388592.0,6.21,0.05
ET,Energy Transfer LP Common Units ,N,N,,75225,Energy,12812.0,Dallas,TX,United States,Oil & Gas Midstream,9.980441,0.14769976,28167314,8.26,8.31,28167314,1.22,2524449,22268471296.0,41891419,8.14,8.27,15.26,6.4570317,7.92,0.14770001,2900.0,8.3299,1.62,1.28,,7.22,42868963.0,1.2,2120878626.0,85417517056.0,8.31,0.305
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,14.857794,0.09404935,84100,13.78,13.81,84100,1.3,2374,368551104.0,148958,13.81,13.93,17.19,,8.16,0.0943,800.0,13.81,42.49,,,15.259,32558.0,0.27,,351081280.0,13.81,0.108
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,15.667941,0.08971554,207185,13.71,13.84,207185,1.23,46462,1049127744.0,358567,13.7,13.75,19.07,,7.77,0.0923,1400.0,13.825,11.771,,,17.486,23083.0,0.08,,1431109376.0,13.84,0.103
ETH,Ethan Allen Interiors Inc. Common Stock,N,N,,06811,Consumer Cyclical,4700.0,Danbury,CT,United States,"Furnishings, Fixtures & Appliances",14.350221,0.0656,381257,12.5,12.71,381257,,17275,308413696.0,401832,12.26,12.43,21.78,17.84116,3.01,,1100.0,12.69,0.615,0.69,,13.54,2232378.0,6.71,21761107.0,419517568.0,12.71,0.21
ETHO,Etho Climate Leadership U.S. ETF,P,Y,,,,,,,,,39.57022,,7471,39.981,40.15,7471,,1070,,15616,40.14,40.21,45.13,,,,4000.0,40.174,,,,,,,,,40.15,0.05
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,9.093677,,338400,9.28,9.31,338400,0.91,28358,593349312.0,473574,9.29,9.31,9.85,,10.65,0.097399995,800.0,9.31,,,,,188655.0,0.45,,,9.31,0.076
ETM,Entercom Communications Corp. Common Stock,N,N,,19004,Communication Services,4144.0,Bala Cynwyd,PA,United States,Broadcasting,3.230441,0.07653061,2549357,1.96,1.95,2549357,0.08,482723,266347936.0,1913874,1.85,1.98,6.31,3.3389833,,0.0476,1200.0,2.02,1.403,0.59,,6.302,11278334.0,4.7,115308744.0,2074024320.0,1.95,0.02
ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,22.933382,0.10546876,57642,20.48,20.66,57642,1.71,15455,322558560.0,108185,20.58,20.67,26.99,,9.35,0.0845,800.0,20.68,28.666,,,23.852,132235.0,1.64,,418202208.0,20.66,0.143
ETRN,Equitrans Midstream Corporation Common Stock ,N,N,,15317-0269,Energy,800.0,Canonsburg,PA,United States,Oil & Gas Midstream,8.929706,0.18610421,4709214,8.06,8.11,4709214,0.6,419974,1851839744.0,6978522,7.94,8.09,21.17,5.2435064,,0.0747,800.0,8.18,7.646,1.54,,1.905,43693276.0,7.07,191091516.0,12948721664.0,8.11,0.15
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,13.92897,0.096586786,229000,13.77,13.73,229000,1.33,27261,1246588928.0,585054,13.73,13.76,15.67,,8.93,0.096999995,1300.0,13.76,61.116,,,14.641,,,,1184096256.0,13.73,0.111
ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,9.164338,0.104057275,548614,8.38,8.41,548614,0.87,73709,899666176.0,693588,8.36,8.38,10.6,,10.14,0.104899995,3000.0,8.4138,33.991,,,10.474,,,,879950144.0,8.41,0.073
ETX,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,20.801544,,29142,19.77,19.78,29142,0.85,837,215645392.0,38367,19.8746,19.91,22.84,-1989.0,3.34,0.0433,900.0,19.89,,-0.01,,,12350.0,0.48,,,19.78,0.071
ETY,"Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,",N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,11.321912,0.095833324,332085,10.56,10.59,332085,1.01,35407,1600614272.0,685856,10.5,10.55,12.98,,8.97,0.0967,2200.0,10.59,46.465,,,11.869,37272.0,0.07,,1573769728.0,10.59,0.084
EUDG,WisdomTree Europe Quality Dividend Growth Fund,P,Y,,,,,,,,,25.242426,,5471,24.3503,24.42,5471,,103,,16533,24.34,24.99,28.546,,,,1000.0,24.545,,,,,,,,,24.42,0.113
EUDV,ProShares MSCI Europe Dividend Growers ETF,Z,Y,,,,,,,,,40.354065,,628,38.6871,38.51,628,,500,,1251,39.26,39.35,45.59,,,,1100.0,39.33,,,,,,,,,38.51,0.064
EUFN,iShares MSCI Europe Financials Sector Index Fund,Q,Y,N,,,,,,,,16.212206,,637442,13.7,13.8,637442,,141383,,1287816,13.64,13.68,19.8,,,,1100.0,13.8,,,,,,,,,13.8,0.182
EUM,ProShares Short MSCI Emerging Markets,P,Y,,,,,,,,,18.687132,,512342,18.72,18.63,512342,,71734,,849430,18.6517,18.71,23.9,,,,3000.0,18.72,,,,,,,,,18.63,0.02
EUMF,WisdomTree Europe Multifactor Fund,Z,Y,,,,,,,,,27.385405,,714,25.4362,25.62,714,,1016,,4616,25.61,31.5,31.515,,,,1000.0,25.6565,,,,,,,,,25.62,0.009
EUMV,iShares Edge MSCI Min Vol Europe ETF,P,Y,,,,,,,,,24.891449,,15457,23.665,23.95,15457,,1826,,30791,24.02,24.01,27.77,,,,1000.0,24.0299,,,,,,,,,23.95,0.215
EURL,Direxion Daily FTSE Europe Bull 3x Shares,P,Y,,,,,,,,,23.120514,,60171,13.845,14.42,60171,,28749,,46053,14.29,14.35,35.0,,,,800.0,14.455,,,,,,,,,14.42,0.056
EURN,Euronav NV Ordinary Shares,N,N,,2000,Energy,2910.0,Antwerp,,Belgium,Oil & Gas Midstream,10.582721,0.111004785,3397271,10.45,10.47,3397271,1.16,669540,2137515136.0,3502583,10.22,10.26,13.21,7.389286,,0.111999996,800.0,10.5,3.121,1.4,,11.779,3221793.0,0.78,184524446.0,3484059136.0,10.47,0.29
EURZ,Xtrackers Eurozone Equity ETF,Z,Y,,,,,,,,,20.636677,,2500,19.2829,19.2,2500,,50,,8108,19.2,19.46,23.736,,,,1000.0,19.2829,,,,,,,,,19.2,0.113
EUSA,iShares MSCI USA Equal Weighted ETF,P,Y,,,,,,,,,57.73287,,13328,56.5533,56.15,13328,,198,,95675,55.2136,56.6,66.41,,,,1200.0,56.5533,,,,,,,,,56.15,0.322
EUSC,WisdomTree Europe Hedged SmallCap Equity Fund,P,Y,,,,,,,,,29.081133,,4557,26.6908,26.52,4557,,47,,19727,26.47,26.86,34.01,,,,1000.0,26.6908,,,,,,,,,26.52,0.028
EV,Eaton Vance Corporation Common Stock,N,N,,02110,Financial Services,1871.0,Boston,MA,United States,Asset Management,41.429707,0.037046503,1088400,39.14,39.41,1088400,1.5,111078,4400131584.0,885383,38.04,38.38,51.79,12.735099,2.82,0.04,4000.0,39.49,2.648,3.02,,11.396,2271989.0,2.71,104594461.0,4578592768.0,39.41,0.375
EVA,"Enviva Partners, LP Common units representing limited partner interests",N,N,,20814,Basic Materials,,Bethesda,MD,United States,Lumber & Wood Production,34.163013,0.07669237,57042,35.01,34.85,57042,2.72,3809,1176178560.0,133556,35.0,35.17,39.305,14.767933,,0.0785,1300.0,35.13,2.328,2.37,,10.851,114715.0,1.23,17025035.0,1700755200.0,34.85,0.68
EVC,Entravision Communications Corporation Common Stock,N,N,,90404,Communication Services,1104.0,Santa Monica,CA,United States,Broadcasting,2.0889707,0.10928962,251171,1.83,1.85,251171,0.1,8033,151371904.0,272924,1.77,1.84,3.5,180.0,3.77,0.056500003,800.0,1.835,0.939,0.01,,2.952,293561.0,1.43,52356201.0,256559584.0,1.85,0.05
EVF,Eaton Vance Senior Income Trust Common Stock,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,5.7427206,0.06019231,190671,5.2,5.19,190671,0.31,11497,197284992.0,281803,5.19,5.24,6.61,,6.33,0.060100004,3200.0,5.2305,13.353,,,7.007,69588.0,0.26,,332355872.0,5.19,0.026
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,12.396838,0.07588076,29742,11.07,11.04,29742,0.9,1788,197401824.0,99782,11.04,11.16,13.71,,7.21,0.08180001,900.0,11.04,14.162,,,14.521,73097.0,0.74,,280038816.0,11.04,0.075
EVGBC,Eaton Vance NextShares Trust - Eaton Vance Global Income Builder NextShares,Q,N,N,,,,,,,,99.97132,,0,100.06,99.94,0,,0,,0,100.06,100.06,100.06,,,,1800.0,100.06,,,,,,,,,99.94,0.026
EVLMC,Eaton Vance NextShares Trust II - Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond NextShares,Q,N,N,,,,,,,,100.04,,0,100.04,100.04,0,,0,,0,100.04,100.04,100.04,,,,4000.0,100.04,,,,,,,,,100.04,0.019
EVM,"Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value",A,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,11.057647,0.04320875,53571,10.97,11.01,53571,0.42,4650,273437632.0,90858,10.94,10.99,11.95,,5.08,0.038599998,1300.0,11.0,26.434,,,12.574,4457.0,0.06,,497875008.0,11.01,0.035
EVN,Eaton Vance Municipal Income Trust Common Stock,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,12.491617,0.047535505,82257,11.97,11.97,82257,0.51,17318,476081760.0,191045,11.96,11.99,13.79,,5.56,0.0431,800.0,12.0019,24.034,,,13.789,5873.0,0.03,,780165568.0,11.97,0.0427
EVR,Evercore Inc. Class A Common Stock,N,N,,10055,Financial Services,1850.0,New York,NY,United States,Capital Markets,64.89566,0.039096728,442157,59.34,60.29,442157,2.32,27421,2372554496.0,663011,58.11,58.8,91.59,10.5269785,2.21,0.0414,900.0,59.09,1.219,5.56,,20.145,1219648.0,1.88,39294841.0,2462892544.0,60.29,0.58
EVRG,"Evergy, Inc. Common Stock",N,N,,64105,Utilities,4617.0,Kansas City,MO,United States,Utilities—Regulated Electric,63.0,0.03216806,3423628,60.93,60.88,3423628,2.02,64485,14057879552.0,2602916,61.43,61.97,76.57,19.314642,3.06,0.0337,800.0,62.125,4.582,3.21,,37.617,4067388.0,2.23,226010365.0,23129077760.0,60.88,0.505
EVSTC,Eaton Vance NextShares Trust - Eaton Vance Stock NextShares,Q,N,N,,,,,,,,100.01941,,14,99.98,99.98,14,,107,,1,99.98,100.02,100.02,,,,4000.0,99.98,,,,,,,,,99.98,1.183
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,N,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,22.085367,0.08927655,173557,19.49,19.6,173557,1.74,53924,1439153920.0,356250,19.52,19.57,26.5,,7.89,0.0919,900.0,19.61,24.492,,,24.344,,,,1835149824.0,19.6,0.145
EVTC,"Evertec, Inc. Common Stock",N,N,,00926,Technology,2300.0,San Juan,PR,United States,Software—Infrastructure,29.32147,0.006756757,399285,29.6,30.02,399285,0.2,12170,2142304384.0,503114,29.65,29.78,37.38,14.195238,1.63,0.0068,900.0,29.83,4.669,2.1,,3.683,1892059.0,4.2,65228207.0,2290064896.0,30.02,0.05
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,A,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,12.029044,0.074522294,295000,10.99,11.03,295000,1.2,53061,1286908800.0,621830,11.021,11.08,13.55,,7.78,0.1096,800.0,11.1,15.594,,,14.46,92781.0,0.07,,2169361920.0,11.03,0.1
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,A,N,,02110,Financial Services,,Boston,MA,United States,Asset Management,12.920956,0.0416,6642,12.5,12.56,6642,0.52,239,67846984.0,14837,12.56,12.59,14.9,,4.82,0.0422,900.0,12.56,24.289,,,14.761,406.0,0.04,,110114680.0,12.56,0.0433
EWA,iShares MSCI Australia Index Fund,P,Y,,,,,,,,,19.925,,3178971,18.38,18.61,3178971,,646864,,4095761,18.485,18.54,23.54,,,,40000.0,18.6,,,,,,,,,18.61,0.456
